index,domain,ai_summary,homepage_kb,internal_links,google_indexed_pages,estimated_visitors
1,000.az,"Gördüyün həqiqət deyil – Bəs nədir?” mövzusunda Zahid Adıgözəlov insanın qəbul etdiyi gerçəklik, şüurun yaratdığı illüziyalar və həqiqətin dəyişk... Ətraflı 1261 Fuad Muxtarov 0 20 Sentyabr 2025 Sağlam Həyat Güclü ol(ma): Mənəvi gücsüz bədən formalaşmır “Güclü ol(ma): Mənəvi gücsüz bədən formalaşmır” mövzusu Günay Arazovanın Sağlam Həyat baxışını əks etdirir. Ətraflı 1451 Fuad Muxtarov 0 6 Sentyabr 2025 Biznes Aboy yoxsa boya? Biz niyə a... Ətraflı 1689 Fuad Muxtarov 0 23 Avqust 2025 Sağlam Həyat Sağalmlıq bədənin deyil, zehnin mesajıdır – Səni dərman yox, niyyətin xilas edir! qısa məlumat 4 Noyabr 2023 Sağlam Həyat Valideynlərin 90%-i bu xətanı edir: uşağınızı travmalardan qoruyun!| Ayşən Rəfiyeva | Sağlam Həyat qısa məlumat 8 Fevral 2025 Sağlam Həyat Qadınlar niyə orqazm ola bilmir?",99.8,129,100,24340
2,001.az,001.AZ - For Sale THIS DOMAIN NAME IS FOR SALE 001.AZ Saw.com has successfully helped thousands of buyers acquire the perfect domain name. Interested in 001.AZ ?,9.73,0,100,912
3,002.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1245
4,003.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1060
5,004.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1093
6,005.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1141
7,006.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1079
8,008.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1211
9,009.az,"This domain is not linked to any directory on the server! If you're the domain owner please link it in the ""Sites"" section of the control panel.",35.92,0,100,1221
10,010.az,"Rodaga – Men's & Women's Luxury Clothing What are you looking for? Clear Summer Reddy Shop Now Summer Reddy Shop Now Summer Reddy Shop now Summer Reddy Shop now Summer Reddy Shop now Summer Reddy Shop now Free Delivery Money Back Guarantee 24/7 Support High quality cotton Women Men Home We believe that every human deserves to feel beautiful and confident, and we are committed to providing you with the best quality and styles that will make you look and feel your best.",129.0,14,100,4759
11,0101.az,In maintenance mode | Məktəb Skip to main content Log in to Məktəb 0101 Режим технического обслуживания Username or email Password Log in Lost password? English ‎(en)‎ Azərbaycanca ‎(az)‎ English ‎(en)‎ Русский ‎(ru)‎ Cookies notice,20.66,3,100,1116
12,022avtoservis.az,Welcome to nginx! For online documentation and support please refer to nginx.org .,0.6,0,100,969
13,070.az,Nomrem.az - Nar nömrələr rəsmi olaraq burada! - 7eSim Nar 070 077 Nar 070 077 Nömrə Tarif Qiymət Əlaqəli şəxs Daha çox ...,31.57,1,100,1105
14,088.az,Website could not be accessed or has no visible text.,0.0,0,0,0
